date,Bus,Rail
2023-08-10,248062.0,837991.0
2023-08-11,236707.0,810226.0
2023-08-12,168464.0,489988.0
2023-08-13,177077.0,483387.0
2023-08-14,207423.0,719968.0
2023-08-15,249561.0,828071.0
2023-08-16,249247.0,832299.0
2023-08-17,245309.0,822451.0
2023-08-18,243189.0,813723.0
2023-08-19,179297.0,545978.0
2023-08-20,173015.0,468897.0
2023-08-21,241552.0,775716.0
2023-08-22,246089.0,811865.0
2023-08-23,250603.0,828992.0
2023-08-24,242836.0,818674.0
2023-08-25,246540.0,832785.0
2023-08-26,181479.0,570225.0
2023-08-27,171424.0,493028.0
2023-08-28,228521.0,756097.0
2023-08-29,227574.0,847314.0
2023-08-30,241178.0,937018.0
2023-08-31,235719.0,670726.0
2023-09-01,222616.0,743046.0
2023-09-02,183543.0,543392.0
2023-09-03,178672.0,463587.0
2023-09-04,239217.0,777800.0
2023-09-05,250278.0,828741.0
2023-09-06,250921.0,844204.0
2023-09-07,251067.0,842441.0
2023-09-08,248383.0,829976.0
2023-09-09,187081.0,593976.0
2023-09-10,184418.0,532292.0
2023-09-11,247893.0,802971.0
2023-09-12,256971.0,840337.0
2023-09-13,256674.0,853112.0
2023-09-14,250698.0,845156.0
2023-09-15,251668.0,846055.0
2023-09-16,186295.0,636253.0
2023-09-17,171534.0,491473.0
2023-09-18,251023.0,802171.0
2023-09-19,257063.0,848488.0
2023-09-20,256576.0,854758.0
2023-09-21,250212.0,845950.0
2023-09-22,246343.0,837823.0
2023-09-23,180345.0,548594.0
2023-09-24,170477.0,472300.0
2023-09-25,243337.0,811686.0
2023-09-26,254986.0,847140.0
2023-09-27,259000.0,890326.0
2023-09-28,164085.0,528718.0
2023-09-29,233240.0,798142.0
2023-09-30,176849.0,603170.0
2023-10-01,174151.0,527080.0
2023-10-02,240804.0,832576.0
2023-10-03,258054.0,873777.0
2023-10-04,258637.0,884795.0
2023-10-05,259565.0,884510.0
2023-10-06,257221.0,896007.0
2023-10-07,193457.0,618701.0
2023-10-08,196350.0,550674.0
2023-10-09,259198.0,852953.0
2023-10-10,258376.0,883994.0
2023-10-11,261690.0,891843.0
2023-10-12,261662.0,885663.0
2023-10-13,262568.0,953555.0
2023-10-14,192816.0,601293.0
2023-10-15,184294.0,525767.0
2023-10-16,257184.0,858148.0
2023-10-17,261023.0,915791.0
2023-10-18,266649.0,903836.0
2023-10-19,261618.0,902728.0
2023-10-20,261124.0,909943.0
2023-10-21,187258.0,596163.0
2023-10-22,182515.0,539394.0
2023-10-23,259081.0,855526.0
2023-10-24,263575.0,899158.0
2023-10-25,266979.0,903408.0
2023-10-26,263936.0,902790.0
2023-10-27,260606.0,907419.0
2023-10-28,192738.0,641902.0
2023-10-29,177519.0,529706.0
2023-10-30,256006.0,848426.0
2023-10-31,262078.0,885921.0
2023-11-01,266364.0,907068.0
2023-11-02,264724.0,902520.0
2023-11-03,261816.0,911011.0
2023-11-04,197984.0,623780.0
2023-11-05,192584.0,544347.0
2023-11-06,262765.0,864449.0
2023-11-07,267723.0,911761.0
2023-11-08,275381.0,932284.0
2023-11-09,274338.0,940132.0
2023-11-10,269615.0,953292.0
2023-11-11,213341.0,678421.0
2023-11-12,239882.0,681493.0
2023-11-13,170913.0,575009.0
2023-11-14,235554.0,840960.0
2023-11-15,255167.0,885770.0
2023-11-16,258610.0,894999.0
2023-11-17,256105.0,872231.0
2023-11-18,193936.0,598824.0
2023-11-19,185228.0,518247.0
2023-11-20,264194.0,866009.0
2023-11-21,270916.0,908630.0
2023-11-22,268099.0,1028786.0
2023-11-23,266798.0,930838.0
2023-11-24,271326.0,942598.0
2023-11-25,194926.0,641532.0
2023-11-26,192763.0,555981.0
2023-11-27,262173.0,876372.0
2023-11-28,266022.0,915865.0
2023-11-29,269859.0,941978.0
2023-11-30,265739.0,927529.0
2023-12-01,267128.0,951710.0
2023-12-02,197625.0,711096.0
2023-12-03,194968.0,630046.0
2023-12-04,261721.0,884085.0
2023-12-05,266586.0,909134.0
2023-12-06,268341.0,932399.0
2023-12-07,267437.0,934359.0
