origin,destination,total_ridership,origin_label,destination_label,log_ridership
AG18: Ampang,KG08: Mutiara Damansara,4444,Ampang,Mutiara Damansara,3.64777405026883
AG18: Ampang,KG09: Bandar Utama,5939,Ampang,Bandar Utama,3.7737133252770216
AG18: Ampang,KG10: TTDI,4378,Ampang,TTDI,3.641275757231913
AG18: Ampang,KG13: Pusat Bandar Damansara,5470,Ampang,Pusat Bandar Damansara,3.737987326333431
AG18: Ampang,KG14: Semantan,7407,Ampang,Semantan,3.8696423446515946
AG18: Ampang,KG15: Muzium Negara,4876,Ampang,Muzium Negara,3.6880636969463443
AG18: Ampang,KG16: Pasar Seni,3094,Ampang,Pasar Seni,3.490520309363349
AG18: Ampang,KG18: Bukit Bintang,29247,Ampang,Bukit Bintang,4.46608132511
AG18: Ampang,KG20: Tun Razak Exchange,19007,Ampang,Tun Razak Exchange,4.278913574715962
AG18: Ampang,KG21: Cochrane,14578,Ampang,Cochrane,4.163697945892569
AG18: Ampang,KG22: Maluri,19723,Ampang,Maluri,4.294972974720408
AG18: Ampang,KG25: Taman Mutiara,4799,Ampang,Taman Mutiara,3.681150749932421
AG18: Ampang,KG26: Taman Connaught,2311,Ampang,Taman Connaught,3.3637999454791094
AG18: Ampang,KG35: Kajang,4389,Ampang,Kajang,3.6423655808449733
AG18: Ampang,KJ02: Taman Melati,802,Ampang,Taman Melati,2.9041743682841634
AG18: Ampang,KJ03: Wangsa Maju,1748,Ampang,Wangsa Maju,3.2425414282983844
AG18: Ampang,KJ04: Sri Rampai,596,Ampang,Sri Rampai,2.7752462597402365
AG18: Ampang,KJ09: Ampang Park,938,Ampang,Ampang Park,2.9722028383790646
AG18: Ampang,KJ10: KLCC,6130,Ampang,KLCC,3.787460474518415
AG18: Ampang,KJ13: Masjid Jamek,714,Ampang,Masjid Jamek,2.8536982117761744
AG18: Ampang,KJ14: Pasar Seni,4975,Ampang,Pasar Seni,3.6967930850817443
AG18: Ampang,KJ15: KL Sentral,7718,Ampang,KL Sentral,3.887504774235378
AG18: Ampang,KJ16: Bank Rakyat Bangsar,5708,Ampang,Bank Rakyat Bangsar,3.756483964442609
AG18: Ampang,KJ17: Abdullah Hukum,11215,Ampang,Abdullah Hukum,4.049799277918987
AG18: Ampang,KJ18: Kerinchi,4992,Ampang,Kerinchi,3.6982745766743674
AG18: Ampang,KJ19: Universiti,2565,Ampang,Universiti,3.409087369447835
AG18: Ampang,KJ21: Asia Jaya,3950,Ampang,Asia Jaya,3.59659709562646
AG18: Ampang,KJ28: Subang Jaya,1874,Ampang,Subang Jaya,3.2727695865517594
